,company,state,location,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
91,Wordstream,Massachusetts,Boston,26.0,2020-04-06,10.0,260.0,234.0,Marketing,Acquired,$28,2020,42.35843,-71.05977
92,Cogito,Massachusetts,Boston,24.0,2020-04-06,14.0,171.0,147.0,Support,Series C,$92,2020,42.35843,-71.05977
93,Salsify,Massachusetts,Boston,60.0,2020-04-03,13.0,462.0,402.0,Retail,Series D,$97,2020,42.35843,-71.05977
94,The Predictive Investment,Massachusetts,Boston,59.0,2020-04-02,25.0,236.0,177.0,HR,Acquired,$65,2020,42.35843,-71.05977
95,Jobcase,Massachusetts,Boston,39.0,2020-04-02,20.0,195.0,156.0,Recruiting,Private Equity …,$118,2020,42.35843,-71.05977
96,Crayon,Massachusetts,Boston,20.0,2020-04-01,20.0,100.0,80.0,Marketing,Series A,$16,2020,42.35843,-71.05977
97,DataRobot,Massachusetts,Boston,200.0,2020-03-27,16.66666666666667,1200.0,1000.0,Data,Series E,$430,2020,42.35843,-71.05977
98,Zipcar,Massachusetts,Boston,100.0,2020-03-27,20.0,500.0,400.0,Transportation,Acquired,$107,2020,42.35843,-71.05977
99,Bevi,Massachusetts,Boston,30.0,2020-03-27,20.0,150.0,120.0,Food,Series C,$60,2020,42.35843,-71.05977
103,Toast,Massachusetts,Boston,550.0,2024-02-15,10.0,5500.0,4950.0,Food,Post-IPO,$962,2024,42.35843,-71.05977
104,Drizly,Massachusetts,Boston,168.0,2024-02-05,100.0,168.0,0.0,Retail,Acquired,$119,2024,42.35843,-71.05977
106,iRobot,Massachusetts,Boston,350.0,2024-01-29,31.0,1129.0,779.0,Consumer,Post-IPO,$30,2024,42.35843,-71.05977
110,Wayfair,Massachusetts,Boston,1650.0,2024-01-19,13.0,12692.0,11042.0,Retail,Post-IPO,"$1,700",2024,42.35843,-71.05977
113,Jumpcloud,Colorado,Boulder,100.0,2023-01-18,12.0,833.0,733.0,Security,Series F,$416,2023,40.01499,-105.27055
114,Stedi,Colorado,Boulder,23.0,2022-08-02,30.0,77.0,54.0,Product,Series B,$75,2022,40.01499,-105.27055
115,Stream,Colorado,Boulder,20.0,2022-06-30,12.0,167.0,147.0,Product,Series B,$58,2022,40.01499,-105.27055
116,TIFIN,Colorado,Boulder,24.0,2022-06-14,10.0,240.0,216.0,Crypto,Series D,$204,2022,40.01499,-105.27055
117,Outside,Colorado,Boulder,87.0,2022-05-20,15.0,580.0,493.0,Media,Series B,$174,2022,40.01499,-105.27055
118,Flytedesk,Colorado,Boulder,4.0,2020-03-18,20.0,20.0,16.0,Marketing,Seed,$4,2020,40.01499,-105.27055
120,Veho,Colorado,Boulder,65.0,2024-01-25,19.0,342.0,277.0,Logistics,Series B,$299,2024,40.01499,-105.27055
122,Polly,Vermont,Burlington,47.0,2022-12-02,15.0,313.0,266.0,Finance,Series C,$184,2022,44.47588,-73.21207
123,Zume,California,Camarillo,200.0,2020-04-15,67.0,299.0,99.0,Food,Unknown,$423,2020,34.21639,-119.0376
126,Atlas,Illinois,Chicago,150.0,2023-08-23,30.0,500.0,350.0,HR,Series B,$220,2023,41.85003,-87.65005
127,Thoughtworks,Illinois,Chicago,579.0,2023-08-08,5.0,11580.0,11001.0,Other,Post-IPO,$748,2023,41.85003,-87.65005
128,Project44,Illinois,Chicago,130.0,2023-05-26,10.0,1300.0,1170.0,Logistics,Unknown,$817,2023,41.85003,-87.65005
129,Clearcover,Illinois,Chicago,81.0,2023-04-17,15.0,540.0,459.0,Finance,Series D,$304,2023,41.85003,-87.65005
130,Thoughtworks,Illinois,Chicago,500.0,2023-03-01,4.0,12500.0,12000.0,Other,Post-IPO,$748,2023,41.85003,-87.65005
131,Amount,Illinois,Chicago,130.0,2023-02-27,25.0,520.0,390.0,Finance,Unknown,$283,2023,41.85003,-87.65005
132,Basis Technologies,Illinois,Chicago,40.0,2023-02-21,4.0,1000.0,960.0,Marketing,Series B,$52,2023,41.85003,-87.65005
133,Relativity,Illinois,Chicago,150.0,2022-12-07,10.0,1500.0,1350.0,Legal,Private Equity …,$125,2022,41.85003,-87.65005
134,Built In,Illinois,Chicago,50.0,2022-10-05,25.0,200.0,150.0,Recruiting,Series C,$29,2022,41.85003,-87.65005
135,Foxtrot,Illinois,Chicago,26.0,2022-09-23,4.0,650.0,624.0,Food,Series C,$166,2022,41.85003,-87.65005
136,FourKites,Illinois,Chicago,60.0,2022-08-11,8.0,750.0,690.0,Logistics,Series D,$201,2022,41.85003,-87.65005
137,GoHealth,Illinois,Chicago,800.0,2022-08-09,20.0,4000.0,3200.0,Healthcare,Post-IPO,$75,2022,41.85003,-87.65005
139,Project44,Illinois,Chicago,63.0,2022-07-15,5.0,1260.0,1197.0,Logistics,Unknown,$817,2022,41.85003,-87.65005
140,The Mom Project,Illinois,Chicago,54.0,2022-07-14,15.0,360.0,306.0,HR,Series C,$115,2022,41.85003,-87.65005
141,Hologram,Illinois,Chicago,80.0,2022-06-09,40.0,200.0,120.0,Infrastructure,Series B,$82,2022,41.85003,-87.65005
142,Cameo,Illinois,Chicago,87.0,2022-05-04,25.0,348.0,261.0,Consumer,Unknown,$165,2022,41.85003,-87.65005
143,G2,Illinois,Chicago,17.0,2020-06-30,5.0,340.0,323.0,Marketing,Series C,$101,2020,41.85003,-87.65005
144,SpotHero,Illinois,Chicago,40.0,2020-06-03,21.0,190.0,150.0,Transportation,Series D,$117,2020,41.85003,-87.65005
145,Hireology,Illinois,Chicago,36.0,2020-05-12,17.0,212.0,176.0,Recruiting,Series D,$52,2020,41.85003,-87.65005
146,UPshow,Illinois,Chicago,19.0,2020-04-24,30.0,63.0,44.0,Marketing,Series A,$7,2020,41.85003,-87.65005
147,Jiobit,Illinois,Chicago,6.0,2020-04-24,21.0,29.0,23.0,Consumer,Unknown,$12,2020,41.85003,-87.65005
149,PerkSpot,Illinois,Chicago,10.0,2020-04-06,10.0,100.0,90.0,HR,Private Equity …,$50,2020,41.85003,-87.65005
150,Showpad,Illinois,Chicago,52.0,2020-04-01,12.0,433.0,381.0,Marketing,Series D,$159,2020,41.85003,-87.65005
151,Remote Year,Illinois,Chicago,50.0,2020-03-19,50.0,100.0,50.0,Travel,Series B,$17,2020,41.85003,-87.65005
155,Astronomer,Ohio,Cincinnati,100.0,2023-04-13,40.0,250.0,150.0,Data,Series C,$282,2023,39.12711,-84.51439
156,Astronomer,Ohio,Cincinnati,76.0,2023-01-04,20.0,380.0,304.0,Data,Series C,$282,2023,39.12711,-84.51439
157,Coterie Insurance,Ohio,Cincinnati,30.0,2022-05-25,20.0,150.0,120.0,Finance,Series B,$70,2022,39.12711,-84.51439
158,Olive AI,Georgia,Columbus,215.0,2023-02-09,35.0,614.0,399.0,Healthcare,Series H,$856,2023,39.96118,-82.99879
159,Beam Benefits,Georgia,Columbus,31.0,2023-02-08,8.0,388.0,357.0,Healthcare,Series E,$168,2023,39.96118,-82.99879
160,Root Insurance,Georgia,Columbus,137.0,2022-11-09,20.0,685.0,548.0,Finance,Post-IPO,$527,2022,39.96118,-82.99879
161,Olive,Georgia,Columbus,450.0,2022-07-19,31.0,1452.0,1002.0,Healthcare,Series H,$856,2022,39.96118,-82.99879
162,Finite State,Georgia,Columbus,16.0,2022-06-17,20.0,80.0,64.0,Security,Series B,$49,2022,39.96118,-82.99879
166,NuScale Power,Oregon,Corvallis,154.0,2024-01-08,28.0,550.0,396.0,Energy,Post-IPO,$470,2024,44.5645659,-123.2620435
168,Bestow,Texas,Dallas,41.0,2022-06-24,14.0,293.0,252.0,Finance,Series C,$137,2022,32.78306,-96.80667
170,Evolve,Colorado,Denver,175.0,2023-09-12,20.0,875.0,700.0,Travel,Series F,$224,2023,39.73915,-104.9847
171,AgentSync,Colorado,Denver,67.0,2023-07-19,24.0,279.0,212.0,Finance,Series B,$111,2023,39.73915,-104.9847
172,Inspirato,Colorado,Denver,50.0,2023-07-19,6.0,833.0,783.0,Travel,Post-IPO,$179,2023,39.73915,-104.9847
173,Evolve,Colorado,Denver,164.0,2023-05-29,14.0,1171.0,1007.0,Travel,Series F,$224,2023,39.73915,-104.9847
174,Guild,Colorado,Denver,172.0,2023-05-24,12.0,1433.0,1261.0,Education,Series F,$643,2023,39.73915,-104.9847
175,Palantir,Colorado,Denver,75.0,2023-02-27,2.0,3750.0,3675.0,Data,Post-IPO,$3000,2023,39.73915,-104.9847
176,Inspirato,Colorado,Denver,109.0,2023-01-18,12.0,908.0,799.0,Travel,Post-IPO,$179,2023,39.73915,-104.9847
177,Homebot,Colorado,Denver,18.0,2022-12-19,13.0,138.0,120.0,Real Estate,Acquired,$4,2022,39.73915,-104.9847
178,Bluprint,Colorado,Denver,137.0,2020-05-26,100.0,137.0,0.0,Education,Acquired,$108,2020,39.73915,-104.9847
179,Ibotta,Colorado,Denver,87.0,2020-04-07,15.0,580.0,493.0,Retail,Series D,$85,2020,39.73915,-104.9847
180,GoSpotCheck,Colorado,Denver,23.0,2020-03-26,20.0,115.0,92.0,Retail,Series B,$47,2020,39.73915,-104.9847
181,Inspirato,Colorado,Denver,130.0,2020-03-16,22.0,591.0,461.0,Travel,Series C,$79,2020,39.73915,-104.9847
183,SonderMind,Colorado,Denver,49.0,2024-01-16,17.0,288.0,239.0,Healthcare,Series C,$183,2024,39.73915,-104.9847
184,Our Next Energy,Michigan,Detroit,128.0,2023-11-27,25.0,512.0,384.0,Transportation,Series B,$390,2023,42.33143,-83.04575
185,Rivian,Michigan,Detroit,840.0,2022-07-27,6.0,14000.0,13160.0,Transportation,Post-IPO,$10700,2022,42.33143,-83.04575
186,StockX,Michigan,Detroit,120.0,2022-06-28,8.0,1500.0,1380.0,Retail,Series E,$690,2022,42.33143,-83.04575
187,Rivian,Michigan,Detroit,40.0,2020-06-02,2.0,2000.0,1960.0,Transportation,Private Equity …,$3100,2020,42.33143,-83.04575
188,StockX,Michigan,Detroit,100.0,2020-04-23,12.0,833.0,733.0,Retail,Series C,$160,2020,42.33143,-83.04575
189,Our Next Energy,Michigan,Detroit,40.0,2024-03-04,13.0,308.0,268.0,Transport…,Series B,$390,2024,42.33143,-83.04575
191,Lokalise,Delaware,Dover,76.0,2022-11-16,23.0,330.0,254.0,Other,Series B,$56,2022,39.15817,-75.52437
193,Weee!,California,Fremont,150.0,2022-06-15,10.0,1500.0,1350.0,Food,Series E,$863,2022,33.66946,-117.82311
194,Bitwise,California,Fresno,900.0,2023-06-14,100.0,900.0,0.0,Crypto,Series B,$84,2023,36.74773,-119.77237
195,Woven,Indiana,Indianapolis,5.0,2022-08-16,15.0,33.0,28.0,HR,Series A,$11,2022,39.76838,-86.15804
196,C2FO,Kansas ,Kansas City,80.0,2023-10-16,3.0,2667.0,2587.0,Finance,Series H,$537,2023,39.09973,-94.57857
197,C2FO,Kansas ,Kansas City,20.0,2022-12-09,2.0,1000.0,980.0,Finance,Series H,$537,2022,39.09973,-94.57857
198,NS8,California,Las Vegas,240.0,2020-09-11,95.0,253.0,13.0,Data,Series A,$158,2020,36.17497,-115.13722
199,Ocavu,Utah,Lehi,20.0,2022-11-10,48.0,42.0,22.0,Crypto,Series A,$11,2022,26.62535,-81.6248
201,iFit,Utah,Logan,300.0,2022-11-14,20.0,1500.0,1200.0,Fitness,Private Equity …,$200,2022,41.73549,-111.83439
202,Beyond Meat,California,Los Angeles,65.0,2023-11-02,8.0,813.0,748.0,Food,Post-IPO,$122,2023,34.05223,-118.24368
203,InvestCloud,California,Los Angeles,80.0,2023-10-06,5.0,1600.0,1520.0,Finance,Private Equity …,$54,2023,34.05223,-118.24368
204,VideoAmp,California,Los Angeles,40.0,2023-09-14,10.0,400.0,360.0,Marketing,Series F,$456,2023,34.05223,-118.24368
205,BlackLine,California,Los Angeles,95.0,2023-08-23,5.0,1900.0,1805.0,Finance,Post-IPO,$220,2023,34.05223,-118.24368
206,Headspace,California,Los Angeles,181.0,2023-06-29,15.0,1207.0,1026.0,Healthcare,Unknown,$216,2023,34.05223,-118.24368
207,CareRev,California,Los Angeles,100.0,2023-06-15,33.0,303.0,203.0,Healthcare,Series A,$51,2023,34.05223,-118.24368
208,TrueCar,California,Los Angeles,102.0,2023-06-14,24.0,425.0,323.0,Transportation,Post-IPO,$340,2023,34.05223,-118.24368
209,ZipRecruiter,California,Los Angeles,270.0,2023-05-31,20.0,1350.0,1080.0,Recruiting,Post-IPO,$769,2023,34.05223,-118.24368
210,Autograph,California,Los Angeles,30.0,2023-05-04,33.0,91.0,61.0,Crypto,Series B,$205,2023,34.05223,-118.24368
211,Alteryx,California,Los Angeles,320.0,2023-04-27,11.0,2909.0,2589.0,Data,Post-IPO,$613,2023,34.05223,-118.24368
212,Zwift,California,Los Angeles,80.0,2023-03-07,15.0,533.0,453.0,Fitness,Series C,$619,2023,34.05223,-118.24368
213,ServiceTitan,California,Los Angeles,221.0,2023-02-15,8.0,2763.0,2542.0,Sales,Series G,$1100,2023,34.05223,-118.24368
214,Headspace,California,Los Angeles,50.0,2022-12-14,4.0,1250.0,1200.0,Healthcare,Unknown,$215,2022,34.05223,-118.24368
215,ChowNow,California,Los Angeles,40.0,2022-12-14,10.0,400.0,360.0,Food,Series C,$64,2022,34.05223,-118.24368
216,BlackLine,California,Los Angeles,95.0,2022-12-08,5.0,1900.0,1805.0,Finance,Private Equity …,$220,2022,34.05223,-118.24368
217,Happy Money,California,Los Angeles,158.0,2022-11-30,34.0,465.0,307.0,Finance,Series D,$191,2022,34.05223,-118.24368
218,AvantStay,California,Los Angeles,144.0,2022-11-09,22.0,655.0,511.0,Travel,Private Equity …,$686,2022,34.05223,-118.24368
219,Recharge,California,Los Angeles,84.0,2022-10-27,17.0,494.0,410.0,Finance,Series B,$277,2022,34.05223,-118.24368
220,Beyond Meat,California,Los Angeles,200.0,2022-10-14,19.0,1053.0,853.0,Food,Post-IPO,$122,2022,34.05223,-118.24368
221,Beyond Meat,California,Los Angeles,200.0,2022-10-14,19.0,1053.0,853.0,Food,Post-IPO,$122,2022,34.05223,-118.24368
222,Snap,California,Los Angeles,1280.0,2022-08-31,20.0,6400.0,5120.0,Consumer,Post-IPO,$4900,2022,34.05223,-118.24368
223,GoodRx,California,Los Angeles,140.0,2022-08-31,16.0,875.0,735.0,Healthcare,Post-IPO,$910,2022,34.05223,-118.24368
224,Jam City,California,Los Angeles,200.0,2022-08-04,17.0,1176.0,976.0,Consumer,Unknown,$652,2022,34.05223,-118.24368
225,Beyond Meat,California,Los Angeles,40.0,2022-08-03,4.0,1000.0,960.0,Food,Post-IPO,$122,2022,34.05223,-118.24368
226,ChowNow,California,Los Angeles,100.0,2022-07-13,20.0,500.0,400.0,Food,Series C,$64,2022,34.05223,-118.24368
227,Emotive,California,Los Angeles,30.0,2022-07-07,18.0,167.0,137.0,Marketing,Series B,$78,2022,34.05223,-118.24368
