company,location,industry,total_laid_off,date,stage,state,state_name
EasyPost,Salt Lake City,Logistics,75,11/03/20,Series A,UT,Utah
Tamara Mellon,Los Angeles,Retail,20,12/03/20,Series C,CA,California
HopSkipDrive,Los Angeles,Transportation,8,13/03/20,Unknown,CA,California
Panda Squad,SF Bay Area,Consumer,6,13/03/20,Seed,CA,California
Service,Los Angeles,Travel,265,16/03/20,Seed,CA,California
Inspirato,Denver,Travel,130,16/03/20,Series C,CO,Colorado
Help.com,Austin,Support,16,16/03/20,Seed,TX,Texas
Flytedesk,Boulder,Marketing,4,18/03/20,Seed,CO,Colorado
Tuft & Needle,Phoenix,Retail,603,19/03/20,Acquired,AZ,Arizona
Ejento,SF Bay Area,Recruiting,84,19/03/20,Unknown,CA,California
Remote Year,Chicago,Travel,50,19/03/20,Series B,IL,Illinois
Lola,Boston,Travel,34,19/03/20,Series C,MA,Massachusetts
Popin,New York City,Fitness,473,19/03/20,Unknown,NY,New York
Service,Los Angeles,Travel,265,20/03/20,Seed,CA,California
Flywheel Sports,New York City,Fitness,784,20/03/20,Acquired,NY,New York
Vacasa,Portland,Travel,265,20/03/20,Series C,OR,Oregon
Yonder,Austin,Media,18,20/03/20,Series A,TX,Texas
Peek,Salt Lake City,Travel,45,20/03/20,Series B,UT,Utah
GrayMeta,Los Angeles,Data,20,23/03/20,Unknown,CA,California
Triplebyte,SF Bay Area,Recruiting,15,23/03/20,Series B,CA,California
Ladder Life,SF Bay Area,Finance,13,23/03/20,Series C,CA,California
Cabin,SF Bay Area,Travel,265,23/03/20,Seed,CA,California
Zwift,Los Angeles,Fitness,473,23/03/20,Series B,CA,California
Compass,New York City,Real Estate,375,23/03/20,Series G,NY,New York
Convene,New York City,Real Estate,150,23/03/20,Series D,NY,New York
Eight Sleep,New York City,Retail,603,23/03/20,Series C,NY,New York
The Guild,Austin,Travel,38,23/03/20,Series B,TX,Texas
Drip,Salt Lake City,Marketing,20,23/03/20,Acquired,UT,Utah
Leafly,Seattle,Retail,91,23/03/20,Acquired,WA,Washington
Sonder,SF Bay Area,Travel,400,24/03/20,Series D,CA,California
Zeus Living,SF Bay Area,Real Estate,80,24/03/20,Series B,CA,California
TravelBank,SF Bay Area,Travel,20,24/03/20,Series B,CA,California
Peerfit,Tampa Bay,HR,146,24/03/20,Unknown,FL,Florida
SpotHero,Chicago,Transportation,358,24/03/20,Series D,IL,Illinois
Foodsby,Minneapolis,Food,87,24/03/20,Series B,MN,Minnesota
Takl,Nashville,Consumer,130,24/03/20,Unknown,TN,Tennessee
TripActions,SF Bay Area,Travel,300,25/03/20,Series D,CA,California
Lyric,SF Bay Area,Real Estate,100,25/03/20,Series B,CA,California
O'Reilly Media,SF Bay Area,Media,75,25/03/20,Unknown,CA,California
WanderJaunt,SF Bay Area,Travel,56,25/03/20,Series B,CA,California
Wonderschool,SF Bay Area,Education,50,25/03/20,Series A,CA,California
Element Analytics,SF Bay Area,Data,10,25/03/20,Series A,CA,California
Clutter,Los Angeles,Consumer,788,25/03/20,Series D,CA,California
Divvy Homes,SF Bay Area,Real Estate,260,25/03/20,Series B,CA,California
Clever Real Estate,St. Louis,Real Estate,260,25/03/20,Series A,MO,Missouri
Overtime,New York City,Media,30,25/03/20,Series B,NY,New York
Universal Standard,New York City,Retail,603,25/03/20,Series A,NY,New York
Jama,Portland,Product,12,25/03/20,Unknown,OR,Oregon
OutboundEngine,Austin,Marketing,52,25/03/20,Series C,TX,Texas
B8ta,SF Bay Area,Retail,250,26/03/20,Series C,CA,California
Peerspace,SF Bay Area,Real Estate,41,26/03/20,Series B,CA,California
Consider.co,SF Bay Area,Other,13,26/03/20,Seed,CA,California
Nativo,Los Angeles,Marketing,83,26/03/20,Series B,CA,California
GoSpotCheck,Denver,Retail,23,26/03/20,Series B,CO,Colorado
Passport,Charlotte,Transportation,44,26/03/20,Series D,NC,North Carolina
Puppet,Portland,Infrastructure,50,26/03/20,Series F,OR,Oregon
Bird,Los Angeles,Transportation,406,27/03/20,Series D,CA,California
Everlane,SF Bay Area,Retail,227,27/03/20,Unknown,CA,California
Restaurant365,Los Angeles,Food,175,27/03/20,Series C,CA,California
Getaround,SF Bay Area,Transportation,100,27/03/20,Series D,CA,California
Raken,San Diego,Construction,60,27/03/20,Series A,CA,California
Oh My Green,SF Bay Area,Food,40,27/03/20,Seed,CA,California
Make School,SF Bay Area,Education,69,27/03/20,Unknown,CA,California
DataRobot,Boston,Data,200,27/03/20,Series E,MA,Massachusetts
Zipcar,Boston,Transportation,100,27/03/20,Acquired,MA,Massachusetts
Bevi,Boston,Food,30,27/03/20,Series C,MA,Massachusetts
Blueground,New York City,Real Estate,130,27/03/20,Series B,NY,New York
Knotel,New York City,Real Estate,127,27/03/20,Series C,NY,New York
ThirdLove,New York City,Retail,10,27/03/20,Series B,NY,New York
Opal,Portland,Marketing,20,27/03/20,Series B,OR,Oregon
DISCO,Austin,Legal,75,27/03/20,Series E,TX,Texas
Pivot3,Austin,Infrastructure,280,27/03/20,Series H,TX,Texas
Textio,Seattle,Recruiting,30,27/03/20,Unknown,WA,Washington
WeWork,New York City,Real Estate,250,28/03/20,Series H,NY,New York
Rent the Runway,New York City,Retail,603,28/03/20,Series F,NY,New York
ZipRecruiter,Los Angeles,Recruiting,400,29/03/20,Series B,CA,California
Polarr,SF Bay Area,Consumer,10,29/03/20,Series A,CA,California
Amplero,Seattle,Marketing,17,29/03/20,Series B,WA,Washington
Thumbtack,SF Bay Area,Consumer,250,30/03/20,Series F,CA,California
PeerStreet,Los Angeles,Finance,51,30/03/20,Series C,CA,California
Blume Global,SF Bay Area,Logistics,30,30/03/20,Unknown,CA,California
Caliva,SF Bay Area,Retail,20,30/03/20,Series A,CA,California
Cuyana,SF Bay Area,Retail,603,30/03/20,Series C,CA,California
Catalant,Boston,Other,30,30/03/20,Series E,MA,Massachusetts
Loftsmart,New York City,Real Estate,25,30/03/20,Series A,NY,New York
Iris Nova,New York City,Food,9,30/03/20,Seed,NY,New York
RigUp,Austin,Energy,120,30/03/20,Series D,TX,Texas
Maven,Seattle,Media,31,30/03/20,Post-IPO,WA,Washington
KeepTruckin,SF Bay Area,Logistics,349,31/03/20,Series D,CA,California
Turo,SF Bay Area,Transportation,108,31/03/20,Series E,CA,California
SkySlope,Sacramento,Real Estate,50,31/03/20,Acquired,CA,California
AngelList,SF Bay Area,Recruiting,20,31/03/20,Series B,CA,California
DialSource,Sacramento,Marketing,5,31/03/20,Series B,CA,California
Adara,SF Bay Area,Travel,265,31/03/20,Series C,CA,California
Zerto,Boston,Infrastructure,280,31/03/20,Series E,MA,Massachusetts
Siteimprove,Minneapolis,Marketing,40,31/03/20,Unknown,MN,Minnesota
Domio,New York City,Travel,265,31/03/20,Series B,NY,New York
uShip,Austin,Logistics,65,31/03/20,Series D,TX,Texas
Kazoo,Austin,HR,146,31/03/20,Series A,TX,Texas
AdRoll,Salt Lake City,Marketing,210,31/03/20,Series C,UT,Utah
Claravine,Salt Lake City,Marketing,83,31/03/20,Seed,UT,Utah
Snap Finance,Salt Lake City,Finance,144,31/03/20,Unknown,UT,Utah
Rover,Seattle,Consumer,194,31/03/20,Series G,WA,Washington
Zenoti,Seattle,Fitness,17,31/03/20,Series C,WA,Washington
Booksy,SF Bay Area,Consumer,200,01/04/20,Series B,CA,California
PatientPop,Los Angeles,Healthcare,100,01/04/20,Series B,CA,California
Earnin,SF Bay Area,Finance,50,01/04/20,Series C,CA,California
Wonolo,SF Bay Area,Recruiting,46,01/04/20,Series C,CA,California
Incredible Health,SF Bay Area,Healthcare,9,01/04/20,Series A,CA,California
Currency,Los Angeles,Finance,144,01/04/20,Unknown,CA,California
GOAT Group,Los Angeles,Retail,603,01/04/20,Series D,CA,California
Le Tote,SF Bay Area,Retail,603,01/04/20,Series C,CA,California
Pana,Denver,Travel,18,01/04/20,Series A,CO,Colorado
Showpad,Chicago,Marketing,52,01/04/20,Series D,IL,Illinois
Levelset,New Orleans,Construction,555,01/04/20,Series C,LA,Louisiana
Crayon,Boston,Marketing,20,01/04/20,Series A,MA,Massachusetts
Pebblepost,New York City,Marketing,83,01/04/20,Series C,NY,New York
Moovel,Portland,Transportation,28,01/04/20,Unknown,OR,Oregon
WhyHotel,Washington D.C.,Travel,265,01/04/20,Series B,VA,Virginia
Usermind,Seattle,Marketing,15,01/04/20,Series C,WA,Washington
MindBody,San Luis Obispo,Fitness,700,02/04/20,Post-IPO,CA,California
Katerra,SF Bay Area,Construction,240,02/04/20,Series D,CA,California
ThirdLove,SF Bay Area,Retail,65,02/04/20,Series B,CA,California
Copper,SF Bay Area,Marketing,35,02/04/20,Series C,CA,California
Dynamic Signal,SF Bay Area,HR,35,02/04/20,Series E,CA,California
Sauce Labs,SF Bay Area,Infrastructure,30,02/04/20,Unknown,CA,California
Humu,SF Bay Area,HR,26,02/04/20,Series B,CA,California
Modsy,SF Bay Area,Retail,603,02/04/20,Series C,CA,California
Atlanta Tech Village,Atlanta,Real Estate,260,02/04/20,Unknown,GA,Georgia
The Predictive Index,Boston,HR,59,02/04/20,Acquired,MA,Massachusetts
Jobcase,Boston,Recruiting,39,02/04/20,Private Equity,MA,Massachusetts
ClassPass,New York City,Fitness,154,02/04/20,Series E,NY,New York
Industrious,New York City,Real Estate,90,02/04/20,Series D,NY,New York
1stdibs,New York City,Retail,70,02/04/20,Series D,NY,New York
Latch,New York City,Security,60,02/04/20,Series B,NY,New York
TripleLift,New York City,Marketing,23,02/04/20,Series B,NY,New York
Wonder,New York City,Other,403,02/04/20,Unknown,NY,New York
Synergysuite,Salt Lake City,Food,5,02/04/20,Series A,UT,Utah
FiscalNote,Washington D.C.,Media,30,02/04/20,Series D,VA,Virginia
Coding Dojo,Seattle,Education,7,02/04/20,Unknown,WA,Washington
Sojern,SF Bay Area,Marketing,300,03/04/20,Series D,CA,California
Minted,SF Bay Area,Retail,147,03/04/20,Series E,CA,California
Velodyne Lidar,SF Bay Area,Transportation,140,03/04/20,Unknown,CA,California
Zoox,SF Bay Area,Transportation,120,03/04/20,Series B,CA,California
D2iQ,SF Bay Area,Infrastructure,34,03/04/20,Series D,CA,California
Anagram,Los Angeles,Healthcare,17,03/04/20,Series A,CA,California
AllyO,SF Bay Area,HR,146,03/04/20,Series B,CA,California
PeopleGrove,SF Bay Area,HR,146,03/04/20,Series A,CA,California
Salsify,Boston,Retail,60,03/04/20,Series D,MA,Massachusetts
Avantage Entertainment,Minneapolis,Media,5,03/04/20,Unknown,MN,Minnesota
Jetty,New York City,Finance,35,03/04/20,Series B,NY,New York
Bustle Digital Group,New York City,Media,24,03/04/20,Series E,NY,New York
Bustle Digital Group,New York City,Media,19,03/04/20,Series E,NY,New York
G/O Media Group,New York City,Media,14,03/04/20,Unknown,NY,New York
The Muse,New York City,Recruiting,127,03/04/20,Series B,NY,New York
The Wing,New York City,Real Estate,260,03/04/20,Series C,NY,New York
Arrive Logistics,Austin,Logistics,75,03/04/20,Series B,TX,Texas
Tripbam,Dallas,Travel,10,03/04/20,Unknown,TX,Texas
Alegion,Austin,Data,119,03/04/20,Series A,TX,Texas
DSCO,Salt Lake City,Retail,12,03/04/20,Series A,UT,Utah
Astra,SF Bay Area,Aerospace,40,05/04/20,Unknown,CA,California
Metromile,SF Bay Area,Finance,100,06/04/20,Series E,CA,California
PerkSpot,Chicago,HR,10,06/04/20,Private Equity,IL,Illinois
Wordstream,Boston,Marketing,26,06/04/20,Acquired,MA,Massachusetts
Cogito,Boston,Support,24,06/04/20,Series C,MA,Massachusetts
Hopper,Boston,Travel,265,06/04/20,Series D,MA,Massachusetts
BounceX,New York City,Marketing,77,06/04/20,Series B,NY,New York
Mapbox,Washington D.C.,Data,119,06/04/20,Series C,VA,Virginia
Branch Metrics,SF Bay Area,Marketing,100,07/04/20,Series E,CA,California
Newfront Insurance,SF Bay Area,Finance,94,07/04/20,Unknown,CA,California
Virta Health,SF Bay Area,Healthcare,65,07/04/20,Series C,CA,California
Ibotta,Denver,Retail,87,07/04/20,Series D,CO,Colorado
Toast,Boston,Food,1300,07/04/20,Series F,MA,Massachusetts
ezCater,Boston,Food,400,07/04/20,Series D,MA,Massachusetts
Sage Therapeutics,Boston,Healthcare,340,07/04/20,Post-IPO,MA,Massachusetts
Payfactors,Boston,HR,46,07/04/20,Unknown,MA,Massachusetts
Away,New York City,Retail,60,07/04/20,Series D,NY,New York
MediaMath,New York City,Marketing,53,07/04/20,Private Equity,NY,New York
Group Nine Media,New York City,Media,50,07/04/20,Unknown,NY,New York
AskNicely,Portland,Support,125,07/04/20,Series A,OR,Oregon
Nav,Salt Lake City,Finance,30,07/04/20,Series C,UT,Utah
RainFocus,Salt Lake City,Marketing,83,07/04/20,Private Equity,UT,Utah
Redfin,Seattle,Real Estate,236,07/04/20,Post-IPO,WA,Washington
Eventbrite,SF Bay Area,Consumer,500,08/04/20,Post-IPO,CA,California
Scoop,SF Bay Area,Transportation,92,08/04/20,Series C,CA,California
Unison,SF Bay Area,Finance,89,08/04/20,Series B,CA,California
Lever,SF Bay Area,Recruiting,86,08/04/20,Series C,CA,California
Quantcast,SF Bay Area,Marketing,30,08/04/20,Series C,CA,California
BVAccel,San Diego,Marketing,25,08/04/20,Unknown,CA,California
VideoAmp,Los Angeles,Marketing,21,08/04/20,Series C,CA,California
Spyce,Boston,Food,4,08/04/20,Series A,MA,Massachusetts
Button,New York City,Marketing,48,08/04/20,Series C,NY,New York
Eden / Managed By Q,New York City,Real Estate,40,08/04/20,Series B,NY,New York
Slice Labs,New York City,Finance,144,08/04/20,Series A,NY,New York
Zola,New York City,Retail,603,08/04/20,Series D,NY,New York
Lytics,Portland,Marketing,83,08/04/20,Series C,OR,Oregon
Yelp,SF Bay Area,Consumer,1000,09/04/20,Post-IPO,CA,California
Matterport,SF Bay Area,Data,90,09/04/20,Series D,CA,California
CipherTrace,SF Bay Area,Crypto,176,09/04/20,Unknown,CA,California
Zest AI,Los Angeles,Finance,144,09/04/20,Unknown,CA,California
OneTrust,Atlanta,Legal,150,09/04/20,Series B,GA,Georgia
Clinc,Ann Arbor,Support,40,09/04/20,Series B,MI,Michigan
Code42,Minneapolis,Data,25,09/04/20,Series B,MN,Minnesota
Monzo,Las Vegas,Finance,165,09/04/20,Series F,NV,Nevada
Domo,Salt Lake City,Data,90,09/04/20,Post-IPO,UT,Utah
Rhumbix,SF Bay Area,Construction,16,10/04/20,Series B,CA,California
FloQast,Los Angeles,Finance,144,10/04/20,Series C,CA,California
Built In,Chicago,Recruiting,28,10/04/20,Series C,IL,Illinois
NuoDB,Boston,Data,20,10/04/20,Unknown,MA,Massachusetts
Meow Wolf,Santa Fe,Media,201,10/04/20,Unknown,NM,New Mexico
Atsu,Seattle,Infrastructure,6,10/04/20,Unknown,WA,Washington
Geekwire,Seattle,Media,5,10/04/20,Unknown,WA,Washington
Frontdesk,Milwaukee,Travel,35,10/04/20,Unknown,WI,Wisconsin
Zoox,SF Bay Area,Transportation,100,13/04/20,Series B,CA,California
EasyPost,SF Bay Area,Logistics,50,13/04/20,Series A,CA,California
Groupon,Chicago,Retail,2800,13/04/20,Post-IPO,IL,Illinois
The RealReal,SF Bay Area,Retail,235,14/04/20,Post-IPO,CA,California
Envoy,SF Bay Area,HR,58,14/04/20,Series B,CA,California
VSCO,SF Bay Area,Consumer,45,14/04/20,Series B,CA,California
Skillz,SF Bay Area,Consumer,21,14/04/20,Series D,CA,California
DataStax,SF Bay Area,Data,15,14/04/20,Series E,CA,California
Aura Financial,SF Bay Area,Finance,144,14/04/20,Unknown,CA,California
Opendoor,SF Bay Area,Real Estate,600,15/04/20,Series E,CA,California
GoPro,SF Bay Area,Consumer,200,15/04/20,Post-IPO,CA,California
Zume,SF Bay Area,Food,200,15/04/20,Unknown,CA,California
Carta,SF Bay Area,Finance,161,15/04/20,Series E,CA,California
Parsable,SF Bay Area,HR,40,15/04/20,Series C,CA,California
Kodiak Robotics,SF Bay Area,Transportation,15,15/04/20,Series A,CA,California
Trove Recommerce,SF Bay Area,Retail,13,15/04/20,Series C,CA,California
View,SF Bay Area,Energy,222,15/04/20,Series H,CA,California
Dude Solutions,Raleigh,Other,403,15/04/20,Acquired,NC,North Carolina
Purse,SF Bay Area,Crypto,176,16/04/20,Seed,CA,California
FullStory,Atlanta,Marketing,83,16/04/20,Series C,GA,Georgia
CarGurus,Boston,Transportation,130,16/04/20,Post-IPO,MA,Massachusetts
LumenAd,Missoula,Marketing,83,16/04/20,Unknown,MT,Montana
Grailed,New York City,Retail,603,16/04/20,Series A,NY,New York
SquadVoice,Columbus,Real Estate,260,16/04/20,Series A,OH,Ohio
Sweetgreen,Los Angeles,Food,35,17/04/20,Series I,CA,California
People.ai,SF Bay Area,Marketing,30,17/04/20,Series C,CA,California
BitGo,SF Bay Area,Crypto,176,17/04/20,Series B,CA,California
Tor,Boston,Security,13,17/04/20,Unknown,MA,Massachusetts
Dispatch,Boston,Other,403,17/04/20,Series A,MA,Massachusetts
Greenhouse Software,New York City,Recruiting,120,17/04/20,Series D,NY,New York
Food52,New York City,Food,259,17/04/20,Acquired,NY,New York
Motif Investing,SF Bay Area,Finance,144,18/04/20,Series E,CA,California
GumGum,Los Angeles,Marketing,90,20/04/20,Series D,CA,California
Zum,SF Bay Area,Transportation,28,20/04/20,Series C,CA,California
Komodo Health,SF Bay Area,Healthcare,23,20/04/20,Series C,CA,California
Forward,SF Bay Area,Healthcare,10,20/04/20,Series C,CA,California
Hipcamp,SF Bay Area,Travel,265,20/04/20,Series B,CA,California
ConsenSys,New York City,Crypto,91,20/04/20,Unknown,NY,New York
Lending Club,SF Bay Area,Finance,460,21/04/20,Post-IPO,CA,California
Houzz,SF Bay Area,Consumer,155,21/04/20,Series E,CA,California
Patreon,SF Bay Area,Media,30,21/04/20,Series D,CA,California
Lambda School,SF Bay Area,Education,19,21/04/20,Series B,CA,California
Casper,New York City,Retail,78,21/04/20,Post-IPO,NY,New York
Politico / Protocol,Washington D.C.,Media,13,21/04/20,Unknown,VA,Virginia
RealSelf,Seattle,Healthcare,40,21/04/20,Series B,WA,Washington
Ike,SF Bay Area,Transportation,10,22/04/20,Series A,CA,California
Clearbit,SF Bay Area,Data,119,22/04/20,Series A,CA,California
Magic Leap,Miami,Consumer,1000,22/04/20,Series E,FL,Florida
When I Work,Minneapolis,HR,55,22/04/20,Series B,MN,Minnesota
ExtraHop,Seattle,Security,121,22/04/20,Series C,WA,Washington
Zenefits,SF Bay Area,HR,87,23/04/20,Series C,CA,California
Singular,SF Bay Area,Marketing,83,23/04/20,Series B,CA,California
PowerReviews,Chicago,Retail,603,23/04/20,Acquired,IL,Illinois
StockX,Detroit,Retail,100,23/04/20,Series C,MI,Michigan
Sisense,New York City,Data,80,23/04/20,Series F,NY,New York
Oscar Health,New York City,Healthcare,70,23/04/20,Unknown,NY,New York
Simon Data,New York City,Marketing,6,23/04/20,Series C,NY,New York
Convoy,Seattle,Logistics,131,23/04/20,Series D,WA,Washington
Divergent 3D,Los Angeles,Transportation,57,24/04/20,Series B,CA,California
Welkin Health,SF Bay Area,Healthcare,10,24/04/20,Series B,CA,California
UPshow,Chicago,Marketing,19,24/04/20,Series A,IL,Illinois
Jiobit,Chicago,Consumer,6,24/04/20,Unknown,IL,Illinois
Cheddar,New York City,Media,70,24/04/20,Acquired,NY,New York
Lighter Capital,Seattle,Finance,18,24/04/20,Series B,WA,Washington
Submittable,Missoula,Other,30,25/04/20,Series B,MT,Montana
Qwick,Phoenix,Recruiting,127,27/04/20,Seed,AZ,Arizona
Automation Anywhere,SF Bay Area,Other,260,27/04/20,Series B,CA,California
JetClosing,Seattle,Real Estate,20,27/04/20,Series A,WA,Washington
App Annie,SF Bay Area,Data,80,28/04/20,Unknown,CA,California
OpenX,Los Angeles,Marketing,35,28/04/20,Unknown,CA,California
PayJoy,SF Bay Area,Finance,27,28/04/20,Series B,CA,California
Shipsi,Los Angeles,Retail,20,28/04/20,Seed,CA,California
Migo,SF Bay Area,Finance,144,28/04/20,Series B,CA,California
TripAdvisor,Boston,Travel,900,28/04/20,Post-IPO,MA,Massachusetts
Desktop Metal,Boston,Other,403,28/04/20,Series E,MA,Massachusetts
Lyft,SF Bay Area,Transportation,982,29/04/20,Post-IPO,CA,California
WeWork,SF Bay Area,Real Estate,300,29/04/20,Series H,CA,California
Lime,SF Bay Area,Transportation,80,29/04/20,Series D,CA,California
Kayak / OpenTable,Stamford,Travel,160,29/04/20,Acquired,CT,Connecticut
Kitopi,New York City,Food,124,29/04/20,Series B,NY,New York
Transfix,New York City,Logistics,24,29/04/20,Series D,NY,New York
AirMap,Los Angeles,Aerospace,70,30/04/20,Unknown,CA,California
Cohesity,SF Bay Area,Data,119,30/04/20,Series E,CA,California
Fandom,SF Bay Area,Media,70,30/04/20,Series E,CA,California
Bullhorn,Boston,Sales,100,30/04/20,Acquired,MA,Massachusetts
Care.com,Boston,Consumer,81,30/04/20,Acquired,MA,Massachusetts
PicoBrew,Seattle,Food,259,30/04/20,Series A,WA,Washington
Sandbox VR,SF Bay Area,Consumer,80,01/05/20,Series A,CA,California
Automatic,SF Bay Area,Transportation,358,01/05/20,Acquired,CA,California
Virtudent,Boston,Healthcare,70,01/05/20,Series A,MA,Massachusetts
Namely,New York City,HR,110,01/05/20,Series E,NY,New York
TheSkimm,New York City,Media,26,01/05/20,Series C,NY,New York
LiveTiles,New York City,Other,50,03/05/20,Post-IPO,NY,New York
Castlight Health,SF Bay Area,Healthcare,148,04/05/20,Post-IPO,CA,California
Airbnb,SF Bay Area,Travel,1900,05/05/20,Private Equity,CA,California
Juul,SF Bay Area,Consumer,900,05/05/20,Unknown,CA,California
Cloudera,SF Bay Area,Infrastructure,280,05/05/20,Post-IPO,CA,California
Handshake,SF Bay Area,Recruiting,127,05/05/20,Series C,CA,California
Workable,Boston,Recruiting,25,05/05/20,Series C,MA,Massachusetts
Andela,New York City,Recruiting,135,05/05/20,Series D,NY,New York
Stack Overflow,New York City,Recruiting,40,05/05/20,Series D,NY,New York
Uber,SF Bay Area,Transportation,3700,06/05/20,Post-IPO,CA,California
Rubicon Project,Los Angeles,Marketing,50,06/05/20,Post-IPO,CA,California
Segment,SF Bay Area,Data,50,06/05/20,Series D,CA,California
ThoughtSpot,SF Bay Area,Data,119,06/05/20,Series E,CA,California
Validity,Boston,Data,130,06/05/20,Private Equity,MA,Massachusetts
Flatiron School,New York City,Education,100,06/05/20,Acquired,NY,New York
Glassdoor,SF Bay Area,Recruiting,300,07/05/20,Acquired,CA,California
Tally,SF Bay Area,Finance,28,07/05/20,Series C,CA,California
SalesLoft,Atlanta,Sales,55,07/05/20,Series D,GA,Georgia
Flywire,Boston,Finance,60,07/05/20,Series E,MA,Massachusetts
Jump,New York City,Transportation,500,07/05/20,Acquired,NY,New York
N26,New York City,Finance,9,08/05/20,Series D,NY,New York
Cadre,New York City,Real Estate,28,11/05/20,Series C,NY,New York
Zeus Living,SF Bay Area,Real Estate,73,12/05/20,Series B,CA,California
Mixpanel,SF Bay Area,Data,65,12/05/20,Series B,CA,California
Datto,Norwalk,Infrastructure,280,12/05/20,Acquired,CT,Connecticut
Hireology,Chicago,Recruiting,36,12/05/20,Series D,IL,Illinois
Petal,New York City,Finance,144,12/05/20,Series B,NY,New York
Deliv,SF Bay Area,Retail,669,13/05/20,Series C,CA,California
Mode Analytics,SF Bay Area,Data,17,13/05/20,Series C,CA,California
Zymergen ,SF Bay Area,Other,403,13/05/20,Series C,CA,California
Kickstarter,New York City,Finance,25,13/05/20,Unknown,NY,New York
BetterCloud,New York City,Security,121,13/05/20,Series E,NY,New York
Cruise,SF Bay Area,Transportation,150,14/05/20,Acquired,CA,California
Ridecell,SF Bay Area,Transportation,35,14/05/20,Series B,CA,California
Veem,SF Bay Area,Finance,30,14/05/20,Unknown,CA,California
Sift,SF Bay Area,Security,121,14/05/20,Series D,CA,California
Quartz,New York City,Media,80,14/05/20,Acquired,NY,New York
Integral Ad Science,New York City,Marketing,70,14/05/20,Acquired,NY,New York
Workfront,Salt Lake City,Marketing,83,14/05/20,Series C,UT,Utah
Lattice,SF Bay Area,HR,16,15/05/20,Series C,CA,California
Masse,New York City,Retail,603,15/05/20,Seed,NY,New York
Uber,SF Bay Area,Transportation,3000,18/05/20,Post-IPO,CA,California
Rubrik,SF Bay Area,Infrastructure,57,18/05/20,Series E,CA,California
Intapp,SF Bay Area,Legal,45,18/05/20,Private Equity,CA,California
Datera,SF Bay Area,Infrastructure,280,18/05/20,Series C,CA,California
Divvy,Salt Lake City,Finance,144,19/05/20,Series C,UT,Utah
Samsara,SF Bay Area,Logistics,300,20/05/20,Series F,CA,California
SoFi,SF Bay Area,Finance,112,20/05/20,Private Equity,CA,California
Intercom,SF Bay Area,Support,39,20/05/20,Series D,CA,California
Stay Alfred,Spokane,Travel,221,20/05/20,Series B,WA,Washington
Glitch,New York City,Product,18,21/05/20,Series A,NY,New York
Cvent,Washington D.C.,Marketing,400,21/05/20,Acquired,VA,Virginia
Bluprint,Denver,Education,137,26/05/20,Acquired,CO,Colorado
Acorns,Portland,Finance,50,26/05/20,Unknown,OR,Oregon
Instructure,Salt Lake City,Education,150,27/05/20,Acquired,UT,Utah
TrueCar,Los Angeles,Transportation,219,28/05/20,Post-IPO,CA,California
StubHub,SF Bay Area,Consumer,200,28/05/20,Acquired,CA,California
The Sill,New York City,Retail,20,28/05/20,Series A,NY,New York
Brex,SF Bay Area,Finance,62,29/05/20,Series C,CA,California
Loftium,Seattle,Real Estate,32,29/05/20,Series A,WA,Washington
Stitch Fix,SF Bay Area,Retail,1400,01/06/20,Post-IPO,CA,California
CrowdStreet,Portland,Real Estate,24,01/06/20,Series C,OR,Oregon
Fundbox,SF Bay Area,Finance,14,02/06/20,Series C,CA,California
Rivian,Detroit,Transportation,40,02/06/20,Private Equity,MI,Michigan
Descartes Labs,Santa Fe,Data,12,02/06/20,Series B,NM,New Mexico
MakerBot,New York City,Consumer,12,02/06/20,Acquired,NY,New York
Kitty Hawk,SF Bay Area,Aerospace,70,03/06/20,Unknown,CA,California
Credit Sesame,SF Bay Area,Finance,22,03/06/20,Series F,CA,California
SpotHero,Chicago,Transportation,40,03/06/20,Series D,IL,Illinois
Lastline,SF Bay Area,Security,50,04/06/20,Series C,CA,California
Builder,Los Angeles,Product,39,04/06/20,Series A,CA,California
Outdoorsy,SF Bay Area,Transportation,358,04/06/20,Series C,CA,California
The Athletic,SF Bay Area,Media,46,05/06/20,Series D,CA,California
Ethos Life,SF Bay Area,Finance,18,05/06/20,Series C,CA,California
Her Campus Media,Boston,Media,10,10/06/20,Unknown,MA,Massachusetts
Branch,New York City,Retail,3,11/06/20,Seed,NY,New York
SynapseFI,SF Bay Area,Finance,63,12/06/20,Series B,CA,California
Stockwell AI,SF Bay Area,Retail,603,15/06/20,Series B,CA,California
Conga,Denver,Data,119,15/06/20,Acquired,CO,Colorado
Splunk,SF Bay Area,Data,70,16/06/20,Post-IPO,CA,California
Redox,Madison,Healthcare,44,16/06/20,Series C,WI,Wisconsin
Atlas Obscura ,New York City,Media,15,18/06/20,Series B,NY,New York
Intuit,SF Bay Area,Finance,715,22/06/20,Post-IPO,CA,California
Dark,SF Bay Area,Product,6,23/06/20,Seed,CA,California
ScaleFactor,Austin,Finance,90,23/06/20,Series C,TX,Texas
Sonos,New York City,Consumer,174,24/06/20,Post-IPO,NY,New York
GoDaddy,Austin,Marketing,451,24/06/20,Post-IPO,TX,Texas
OYO,Dallas,Travel,265,24/06/20,Series F,TX,Texas
Sprinklr,New York City,Support,125,25/06/20,Series F,NY,New York
Byton,SF Bay Area,Transportation,358,27/06/20,Series C,CA,California
Engine eCommerce,Fayetteville,Retail,603,28/06/20,Unknown,NY,New York
