company,location,industry,total_laid_off,date,stage,state
Medly,New York City,Healthcare,148,08/02/23,Series C,NY
Zoom,SF Bay Area,Other,1300,07/02/23,Post-IPO,CA
eBay,SF Bay Area,Retail,500,07/02/23,Post-IPO,CA
SecureWorks,Atlanta,Security,212,07/02/23,Post-IPO,GA
Salesloft,Atlanta,Sales,100,07/02/23,Acquired,GA
Sana Benefits,Austin,HR,146,07/02/23,Series B,TX
Dell,Austin,Hardware,6650,06/02/23,Post-IPO,TX
VinFast US,Los Angeles,Transportation,80,06/02/23,Subsidiary,CA
Drift,Boston,Marketing,59,06/02/23,Acquired,MA
Clari,SF Bay Area,Sales,20,06/02/23,Series F,CA
Kyruus,Boston,Healthcare,70,05/02/23,Unknown,MA
Eightfold AI,SF Bay Area,HR,90,03/02/23,Series E,CA
Protocol Labs,SF Bay Area,Crypto,89,03/02/23,Unknown,CA
Okta,SF Bay Area,Security,300,02/02/23,Post-IPO,CA
Autodesk,SF Bay Area,Other,250,02/02/23,Post-IPO,CA
Mindstrong,SF Bay Area,Healthcare,127,02/02/23,Series C,CA
Miro,SF Bay Area,Other,119,02/02/23,Series C,CA
Getir,New York City,Food,100,02/02/23,Series E,NY
Highspot,Seattle,Sales,100,02/02/23,Series F,WA
Bittrex,Seattle,Crypto,80,02/02/23,Unknown,WA
Articulate,New York City,Education,38,02/02/23,Series A,NY
Desktop Metal,Boston,Other,403,02/02/23,Post-IPO,MA
Getaround,SF Bay Area,Transportation,358,02/02/23,Post-IPO,CA
Talkdesk,SF Bay Area,Support,125,02/02/23,Series D,CA
Splunk,SF Bay Area,Data,325,01/02/23,Post-IPO,CA
Pinterest,SF Bay Area,Consumer,150,01/02/23,Post-IPO,CA
DraftKings,Boston,Consumer,140,01/02/23,Post-IPO,MA
Cyren,Washington D.C.,Security,121,01/02/23,Post-IPO,VA
Workato,SF Bay Area,Other,90,01/02/23,Series E,CA
Wheel,Austin,Healthcare,56,01/02/23,Series C,TX
Chainalysis,New York City,Crypto,44,01/02/23,Series F,NY
Appgate,Miami,Security,34,01/02/23,Post-IPO,FL
Exterro,Portland,Legal,24,01/02/23,Private Equity,OR
TheSkimm,New York City,Media,17,01/02/23,Series C,NY
Bustle Digital Group,New York City,Media,70,01/02/23,Series E,NY
Frequency Therapeutics,Boston,Healthcare,148,01/02/23,Post-IPO,MA
Match Group,New York City,Consumer,788,01/02/23,Post-IPO,NY
Picnic,Seattle,Food,259,01/02/23,Unknown,WA
Rivian,Detroit,Transportation,358,01/02/23,Post-IPO,MI
PayPal,SF Bay Area,Finance,2000,31/01/23,Post-IPO,CA
NetApp,SF Bay Area,Data,960,31/01/23,Post-IPO,CA
Workday,SF Bay Area,HR,525,31/01/23,Post-IPO,CA
HubSpot,Boston,Marketing,500,31/01/23,Post-IPO,MA
Upstart,SF Bay Area,Finance,365,31/01/23,Post-IPO,CA
Wish,SF Bay Area,Retail,150,31/01/23,Post-IPO,CA
Tilting Point,New York City,Consumer,60,31/01/23,Unknown,NY
National Instruments,Austin,Hardware,1460,31/01/23,Post-IPO,TX
Groupon,Chicago,Retail,500,30/01/23,Post-IPO,IL
Intel,SF Bay Area,Hardware,343,30/01/23,Post-IPO,CA
Impossible Foods copy,SF Bay Area,Food,140,30/01/23,Series H,CA
BM Technologies,Philadelphia,Finance,144,30/01/23,Post-IPO,PA
Oyster,Charlotte,HR,146,30/01/23,Series C,NC
Prime Trust,Las Vegas,Crypto,176,30/01/23,Series B,NV
Quantum SI,New Haven,Healthcare,148,30/01/23,Post-IPO,CT
SoFi,SF Bay Area,Finance,144,30/01/23,Post-IPO,CA
CoinTracker,SF Bay Area,Crypto,19,28/01/23,Series A,CA
Ruggable,Los Angeles,Retail,100,27/01/23,Seed,CA
Synopsys,SF Bay Area,Other,100,27/01/23,Post-IPO,CA
Decent,SF Bay Area,Healthcare,148,27/01/23,Series A,CA
Nate,New York City,Retail,603,27/01/23,Series A,NY
Confluent,SF Bay Area,Data,221,26/01/23,Post-IPO,CA
DriveWealth,Jersey City,Finance,144,26/01/23,Series D,NJ
Plus One Robotics,San Antonio,Other,403,26/01/23,Series B,TX
Quora,SF Bay Area,Consumer,788,26/01/23,Series D,CA
IBM,New York City,Hardware,3900,25/01/23,Post-IPO,NY
Lam Research,SF Bay Area,Hardware,1300,25/01/23,Post-IPO,CA
Shutterfly,SF Bay Area,Retail,360,25/01/23,Acquired,CA
Clear Capital,Reno,Real Estate,250,25/01/23,Unknown,NV
Guardant Health,SF Bay Area,Healthcare,130,25/01/23,Post-IPO,CA
SirionLabs,Seattle,Legal,130,25/01/23,Series D,WA
CareRev,Los Angeles,Retail,603,25/01/23,Series A,CA
Noom,New York City,Fitness,473,25/01/23,Series F,NY
Vacasa,Portland,Travel,1300,24/01/23,Post-IPO,OR
Innovaccer,SF Bay Area,Healthcare,245,24/01/23,Series E,CA
Bolt,SF Bay Area,Finance,50,24/01/23,Series E,CA
OFFOR Health,Columbus,Healthcare,16,24/01/23,Series A,OH
